name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,defensive_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Lionel Messi,98,RW,93,98,97,99,40,77,99,87,99,95,99,97,83,99,91,99,98,97,99,96,99,97,98,99,99,47,82,24,41,28,82,84,82,53
Pelé,98,CAM,95,96,93,96,60,76,95,95,98,94,94,95,93,97,90,89,96,88,89,94,93,98,97,96,98,67,94,55,53,49,88,86,76,59
Kevin De Bruyne,97,CM,85,94,98,94,81,86,87,84,91,98,97,89,89,99,99,87,98,98,94,82,84,98,97,95,96,84,70,86,82,67,70,98,83,84
Karim Benzema,97,CF,92,97,90,94,45,90,91,92,99,96,88,97,93,97,81,79,97,82,89,84,78,99,98,94,97,45,99,50,28,21,91,95,95,73
Kylian Mbappé,97,ST,99,96,88,98,44,87,99,99,99,95,88,90,86,91,86,76,94,78,88,99,86,99,97,99,94,46,88,32,42,39,88,99,87,73
Erling Haaland,96,ST,96,96,80,88,60,94,88,99,99,99,92,93,80,91,58,76,91,65,95,84,79,97,90,86,94,53,97,54,65,36,80,88,99,92
Virgil van Dijk,96,CB,88,65,80,83,97,94,74,99,56,88,69,49,67,73,60,79,89,97,68,70,61,99,88,81,99,97,94,99,99,93,96,81,99,93
Luka Modrić,96,CM,85,86,97,97,85,83,88,82,81,89,93,86,93,98,94,85,99,99,93,99,99,97,99,94,99,94,65,83,89,85,84,99,73,78
Zinedine Zidane,96,CAM,85,92,96,95,75,86,86,84,91,90,94,93,90,97,94,92,97,96,89,78,87,96,97,97,97,85,87,64,78,67,75,88,88,79
Ronaldo,96,ST,97,95,81,95,45,76,97,97,98,93,90,96,89,81,75,90,86,73,87,91,85,95,96,97,89,41,84,39,44,38,82,81,85,47
Pelé,96,CF,96,94,92,95,58,75,96,96,96,89,92,95,93,95,91,90,93,89,85,99,96,94,95,94,95,67,91,53,50,46,90,90,74,57
Gerd Müller,95,ST,89,95,79,90,45,78,94,85,99,95,84,95,89,83,70,80,84,68,83,93,99,97,92,85,92,39,99,43,37,32,95,86,76,67
Ronaldinho,95,LW,94,91,92,97,38,83,95,94,91,89,92,86,94,95,93,92,91,86,92,92,91,98,99,98,99,25,50,39,42,32,78,81,88,73
Jude Bellingham,95,CM,88,88,92,96,90,92,92,86,90,92,87,83,66,99,78,58,99,97,80,93,90,96,96,97,90,94,78,92,91,89,87,99,85,98
Zinedine Zidane,95,CAM,84,91,94,94,73,85,86,83,89,92,93,90,89,95,91,94,96,91,89,80,89,94,98,95,90,85,83,59,78,67,79,92,88,68
Ronaldo,95,ST,95,94,80,94,46,78,96,94,98,93,90,92,88,80,75,80,85,74,78,91,83,89,94,96,90,39,85,39,45,38,86,83,89,43
Pelé,95,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Nesta,94,CB,80,46,71,73,95,90,82,78,43,56,43,43,52,66,59,41,86,77,47,40,57,99,85,67,92,99,84,95,94,94,86,72,98,91
Theo Hernández,94,LB,98,80,88,90,88,92,97,99,77,92,80,73,56,85,97,74,91,79,80,87,84,94,88,92,89,88,83,83,91,90,75,99,90,91
Achraf Hakimi,94,RB,99,81,90,91,90,91,98,99,81,86,79,80,65,88,96,84,92,83,88,93,89,92,93,90,82,94,82,90,91,91,92,99,84,88
Éder Militão,94,CB,90,60,81,83,95,92,87,92,58,74,50,41,72,68,80,46,91,88,69,81,71,98,85,81,85,96,92,95,96,94,95,96,89,94
Ruud Gullit,94,CF,87,93,93,90,84,91,86,88,91,98,97,90,87,94,90,94,94,96,91,80,86,96,93,90,92,83,97,81,84,79,87,96,90,88
David Beckham,94,RM,91,88,96,91,70,83,90,92,83,90,97,85,91,95,99,98,94,98,99,86,90,95,93,89,95,72,74,69,70,64,73,94,78,83
Gerd Müller,94,ST,88,94,77,88,43,76,93,84,98,95,83,96,86,83,67,76,83,68,80,86,94,98,93,82,92,42,96,45,31,26,90,82,77,63
Ronaldinho,94,LW,92,90,91,95,37,81,94,91,93,86,89,83,88,93,90,90,92,86,90,94,89,93,95,96,94,26,54,37,41,31,86,83,84,70
Paolo Maldini,94,CB,86,56,75,69,96,83,85,86,57,73,38,65,54,69,76,31,87,79,36,65,69,95,74,61,95,96,93,95,97,96,84,81,85,79
Garrincha,94,RW,90,87,94,96,41,68,91,90,89,86,86,85,82,94,95,90,94,92,92,91,88,96,96,98,91,45,67,35,37,33,65,82,66,54
Johan Cruyff,94,CF,91,92,91,94,42,73,93,89,95,84,93,94,88,94,87,83,93,87,93,92,82,97,96,95,94,44,64,41,36,40,66,82,70,72
Ferenc Puskás,94,CF,91,96,91,92,46,76,92,90,97,96,95,94,93,92,88,88,92,89,92,91,92,96,94,91,96,45,75,43,42,39,70,92,77,57
Lionel Messi,94,CF,86,93,94,97,37,70,92,81,94,90,95,92,78,98,88,97,95,94,97,94,98,95,96,98,99,44,76,22,38,26,74,77,74,48
Lionel Messi,94,RW,85,92,94,97,37,69,91,80,93,89,94,91,78,98,88,97,95,94,97,94,98,95,96,98,99,44,76,22,38,26,73,75,73,47
Ronaldo,94,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinedine Zidane,94,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadio Mané,93,LW,94,88,86,92,49,83,95,94,91,88,83,80,80,90,84,69,90,76,83,97,92,95,90,92,88,39,94,47,47,42,94,92,78,81
Gareth Bale,93,RW,91,93,92,90,72,86,90,92,90,99,95,93,84,87,97,99,91,89,99,88,73,88,92,91,97,69,99,65,69,65,99,72,95,77
Hugo Sánchez,93,ST,93,94,84,92,45,78,92,93,95,94,90,99,91,85,86,90,86,70,86,93,91,90,91,94,85,46,95,39,38,35,88,85,76,70
Andrea Pirlo,93,CM,82,84,96,93,75,75,83,81,81,83,87,80,93,97,91,97,97,97,95,92,88,96,96,92,96,83,57,78,73,70,65,94,73,61
Javier Zanetti,93,RB,90,66,90,86,90,84,89,91,65,79,54,63,72,86,97,59,97,91,61,80,86,91,93,82,89,93,85,90,91,90,70,91,80,88
Mohamed Salah,93,RW,93,92,87,93,51,80,92,94,96,86,88,87,89,90,85,73,89,82,89,93,94,96,91,93,95,62,67,43,49,46,74,93,80,67
Xavi,93,CM,81,80,95,93,72,72,82,80,76,82,84,69,80,98,91,87,97,95,85,89,95,95,97,91,98,88,52,72,69,64,65,90,69,57
Thierry Henry,93,ST,94,91,83,90,53,80,94,94,94,88,87,90,86,82,80,87,87,76,93,90,66,90,93,91,86,53,85,46,51,45,70,88,83,64
Ruud Gullit,93,CF,86,91,91,89,82,90,85,87,89,96,94,88,85,92,88,92,92,94,89,78,85,95,92,89,91,81,95,79,82,77,86,95,89,87
Roberto Baggio,93,CAM,86,84,92,92,40,61,88,84,88,74,84,85,86,95,87,90,94,90,94,81,82,89,96,95,85,38,75,38,34,33,65,76,62,41
Marco van Basten,93,ST,83,94,76,89,39,75,81,85,97,94,88,98,90,77,74,78,80,66,77,86,74,95,93,88,92,47,90,25,32,31,85,78,82,52
Lothar Matthäus,93,CM,89,89,90,82,90,85,93,85,81,97,96,90,95,91,84,91,93,93,77,77,81,91,89,77,91,93,79,88,94,91,74,93,78,93
George Best,93,RW,93,91,84,94,58,71,94,92,94,89,90,88,88,86,89,75,85,79,82,93,91,90,95,95,92,63,87,52,53,50,80,87,68,54
Franco Baresi,93,CB,70,49,76,72,95,82,64,74,46,54,50,51,63,72,65,45,88,87,59,75,76,93,86,57,86,95,90,95,95,96,82,85,80,81
Eusébio,93,CF,94,94,86,93,45,79,93,94,95,95,92,89,92,86,87,85,87,85,84,98,96,95,90,93,90,39,90,43,40,36,90,95,71,75
Eric Cantona,93,CF,89,93,90,93,53,92,88,89,92,94,93,97,91,94,89,86,90,86,91,86,86,91,95,94,96,49,92,42,54,51,92,91,92,93
Carlos Alberto,93,RB,90,66,81,86,90,87,91,90,59,85,61,46,83,87,86,35,91,65,66,84,72,90,89,85,86,90,86,89,91,90,84,90,89,79
Kevin De Bruyne,93,CM,77,90,95,90,67,99,79,76,87,94,93,85,85,96,96,85,95,95,91,79,81,94,93,91,92,69,58,71,68,56,90,99,99,99
Garrincha,93,RW,90,87,93,95,41,68,92,89,90,87,82,86,82,92,95,91,93,90,91,93,91,90,95,97,90,41,65,34,40,38,69,85,65,53
Kylian Mbappé,93,ST,98,91,84,94,39,80,98,98,95,90,84,85,82,87,82,72,89,75,84,95,83,95,93,95,90,41,78,28,37,35,81,92,80,67
