name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Lionel Messi,98.0,RW,93.0,98.0,97.0,99.0,40.0,77.0,99.0,87.0,99.0,95.0,99.0,97.0,83.0,99.0,91.0,99.0,98.0,97.0,99.0,96.0,99.0,97.0,98.0,99.0,99.0,47.0,82.0,41.0,28.0,82.0,84.0,82.0,53.0
Pelé,98.0,CAM,95.0,96.0,93.0,96.0,60.0,76.0,95.0,95.0,98.0,94.0,94.0,95.0,93.0,97.0,90.0,89.0,96.0,88.0,89.0,94.0,93.0,98.0,97.0,96.0,98.0,67.0,94.0,53.0,49.0,88.0,86.0,76.0,59.0
Kevin De Bruyne,97.0,CM,85.0,94.0,98.0,94.0,81.0,86.0,87.0,84.0,91.0,98.0,97.0,89.0,89.0,99.0,99.0,87.0,98.0,98.0,94.0,82.0,84.0,98.0,97.0,95.0,96.0,84.0,70.0,82.0,67.0,70.0,98.0,83.0,84.0
Karim Benzema,97.0,CF,92.0,97.0,90.0,94.0,45.0,90.0,91.0,92.0,99.0,96.0,88.0,97.0,93.0,97.0,81.0,79.0,97.0,82.0,89.0,84.0,78.0,99.0,98.0,94.0,97.0,45.0,99.0,28.0,21.0,91.0,95.0,95.0,73.0
Kylian Mbappé,97.0,ST,99.0,96.0,88.0,98.0,44.0,87.0,99.0,99.0,99.0,95.0,88.0,90.0,86.0,91.0,86.0,76.0,94.0,78.0,88.0,99.0,86.0,99.0,97.0,99.0,94.0,46.0,88.0,42.0,39.0,88.0,99.0,87.0,73.0
Erling Haaland,96.0,ST,96.0,96.0,80.0,88.0,60.0,94.0,88.0,99.0,99.0,99.0,92.0,93.0,80.0,91.0,58.0,76.0,91.0,65.0,95.0,84.0,79.0,97.0,90.0,86.0,94.0,53.0,97.0,65.0,36.0,80.0,88.0,99.0,92.0
Virgil van Dijk,96.0,CB,88.0,65.0,80.0,83.0,97.0,94.0,74.0,99.0,56.0,88.0,69.0,49.0,67.0,73.0,60.0,79.0,89.0,97.0,68.0,70.0,61.0,99.0,88.0,81.0,99.0,97.0,94.0,99.0,93.0,96.0,81.0,99.0,93.0
Luka Modrić,96.0,CM,85.0,86.0,97.0,97.0,85.0,83.0,88.0,82.0,81.0,89.0,93.0,86.0,93.0,98.0,94.0,85.0,99.0,99.0,93.0,99.0,99.0,97.0,99.0,94.0,99.0,94.0,65.0,89.0,85.0,84.0,99.0,73.0,78.0
Zinedine Zidane,96.0,CAM,85.0,92.0,96.0,95.0,75.0,86.0,86.0,84.0,91.0,90.0,94.0,93.0,90.0,97.0,94.0,92.0,97.0,96.0,89.0,78.0,87.0,96.0,97.0,97.0,97.0,85.0,87.0,78.0,67.0,75.0,88.0,88.0,79.0
Ronaldo,96.0,ST,97.0,95.0,81.0,95.0,45.0,76.0,97.0,97.0,98.0,93.0,90.0,96.0,89.0,81.0,75.0,90.0,86.0,73.0,87.0,91.0,85.0,95.0,96.0,97.0,89.0,41.0,84.0,44.0,38.0,82.0,81.0,85.0,47.0
Pelé,96.0,CF,96.0,94.0,92.0,95.0,58.0,75.0,96.0,96.0,96.0,89.0,92.0,95.0,93.0,95.0,91.0,90.0,93.0,89.0,85.0,99.0,96.0,94.0,95.0,94.0,95.0,67.0,91.0,50.0,46.0,90.0,90.0,74.0,57.0
Gerd Müller,95.0,ST,89.0,95.0,79.0,90.0,45.0,78.0,94.0,85.0,99.0,95.0,84.0,95.0,89.0,83.0,70.0,80.0,84.0,68.0,83.0,93.0,99.0,97.0,92.0,85.0,92.0,39.0,99.0,37.0,32.0,95.0,86.0,76.0,67.0
Ronaldinho,95.0,LW,94.0,91.0,92.0,97.0,38.0,83.0,95.0,94.0,91.0,89.0,92.0,86.0,94.0,95.0,93.0,92.0,91.0,86.0,92.0,92.0,91.0,98.0,99.0,98.0,99.0,25.0,50.0,42.0,32.0,78.0,81.0,88.0,73.0
Jude Bellingham,95.0,CM,88.0,88.0,92.0,96.0,90.0,92.0,92.0,86.0,90.0,92.0,87.0,83.0,66.0,99.0,78.0,58.0,99.0,97.0,80.0,93.0,90.0,96.0,96.0,97.0,90.0,94.0,78.0,91.0,89.0,87.0,99.0,85.0,98.0
Zinedine Zidane,95.0,CAM,84.0,91.0,94.0,94.0,73.0,85.0,86.0,83.0,89.0,92.0,93.0,90.0,89.0,95.0,91.0,94.0,96.0,91.0,89.0,80.0,89.0,94.0,98.0,95.0,90.0,85.0,83.0,78.0,67.0,79.0,92.0,88.0,68.0
Ronaldo,95.0,ST,95.0,94.0,80.0,94.0,46.0,78.0,96.0,94.0,98.0,93.0,90.0,92.0,88.0,80.0,75.0,80.0,85.0,74.0,78.0,91.0,83.0,89.0,94.0,96.0,90.0,39.0,85.0,45.0,38.0,86.0,83.0,89.0,43.0
Alessandro Nesta,94.0,CB,80.0,46.0,71.0,73.0,95.0,90.0,82.0,78.0,43.0,56.0,43.0,43.0,52.0,66.0,59.0,41.0,86.0,77.0,47.0,40.0,57.0,99.0,85.0,67.0,92.0,99.0,84.0,94.0,94.0,86.0,72.0,98.0,91.0
Theo Hernández,94.0,LB,98.0,80.0,88.0,90.0,88.0,92.0,97.0,99.0,77.0,92.0,80.0,73.0,56.0,85.0,97.0,74.0,91.0,79.0,80.0,87.0,84.0,94.0,88.0,92.0,89.0,88.0,83.0,91.0,90.0,75.0,99.0,90.0,91.0
Achraf Hakimi,94.0,RB,99.0,81.0,90.0,91.0,90.0,91.0,98.0,99.0,81.0,86.0,79.0,80.0,65.0,88.0,96.0,84.0,92.0,83.0,88.0,93.0,89.0,92.0,93.0,90.0,82.0,94.0,82.0,91.0,91.0,92.0,99.0,84.0,88.0
